start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
72,80,102.399,0.282038,0.0549462,0.384005,0.216239,0.0434641,-0.0118043
96,104,96.7963,0.282226,0.0576301,0.37131,0.185774,3.84996e-06,-1.32149e-06
114,123,108.928,0.281502,0.0573247,0.363154,0.187976,7.16865e-05,-2.41028e-05
