start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
0,8,476.784,0.28189,0.0571634,0.149704,0.279358,0.00174955,-0.000373646
24,24,64.4883,0.284676,0.0621927,0.214274,0.211848,5.28517e-05,-1.69792e-05
48,48,61.6165,0.283837,0.059471,0.194152,0.223994,0.0001126,-3.21628e-05
72,72,68.0814,0.284079,0.060706,0.207615,0.209043,8.99481e-06,-2.85266e-06
96,96,63.7683,0.284061,0.0606625,0.252927,0.207013,5.15871e-06,-1.6537e-06
120,120,58.8389,0.283761,0.0568299,0.233361,0.202348,4.59523e-05,-1.40109e-05
