RunID,Date,DAQTimeLapse,DriftField_V_per_cm
354142,2019-06-19 18:30:15,43.0,230.99729241877256
354143,2019-06-19 18:32:08,43.0,230.99548736462094
354144,2019-06-19 18:33:56,42.0,230.99548736462094
354145,2019-06-19 18:35:44,43.0,231.00451263537906
354146,2019-06-19 18:37:35,43.0,230.99458483754515
354147,2019-06-19 18:39:29,43.0,230.99458483754515
354148,2019-06-19 18:41:23,42.0,230.9765342960289
354149,2019-06-19 18:43:10,43.0,230.99548736462094
354150,2019-06-19 18:45:02,43.0,230.97743682310468
354151,2019-06-19 18:46:56,43.0,230.99548736462094
354152,2019-06-19 18:48:45,43.0,230.99548736462094
354154,2019-06-19 18:52:23,43.0,230.97743682310468
354155,2019-06-19 18:54:15,43.0,230.97743682310468
354156,2019-06-19 18:56:06,42.0,230.99548736462094
354157,2019-06-19 18:58:00,43.0,230.99548736462094
354159,2019-06-19 19:01:45,43.0,230.99548736462094
354160,2019-06-19 19:03:37,43.0,231.00451263537906
354161,2019-06-19 19:05:30,42.0,230.99548736462094
354162,2019-06-19 19:07:20,44.0,230.97743682310468
354163,2019-06-19 19:09:14,43.0,231.00451263537906
354164,2019-06-19 19:11:06,42.0,230.99548736462094
354165,2019-06-19 19:13:00,43.0,230.99548736462094
354166,2019-06-19 19:14:49,43.0,230.99548736462094
354167,2019-06-19 19:16:41,43.0,230.97743682310468
354168,2019-06-19 19:18:33,43.0,231.00451263537906
354169,2019-06-19 19:20:24,43.0,231.00451263537906
354170,2019-06-19 19:22:16,43.0,231.00451263537906
354171,2019-06-19 19:24:10,42.0,230.97743682310468
354172,2019-06-19 19:26:02,43.0,230.99548736462094
354173,2019-06-19 19:27:53,43.0,230.97743682310468
354174,2019-06-19 19:29:45,42.0,230.97743682310468
354175,2019-06-19 19:31:39,43.0,230.99548736462094
354176,2019-06-19 19:33:30,43.0,230.99548736462094
354177,2019-06-19 19:35:24,43.0,230.97743682310468
354178,2019-06-19 19:37:16,43.0,230.97743682310468
354179,2019-06-19 19:39:07,43.0,230.99548736462094
354180,2019-06-19 19:40:59,43.0,231.00451263537906
354181,2019-06-19 19:42:51,42.0,231.00451263537906
354183,2019-06-19 19:46:34,43.0,230.99548736462094
354184,2019-06-19 19:48:28,43.0,230.99548736462094
354185,2019-06-19 19:50:20,43.0,230.97833935018053
354186,2019-06-19 19:52:11,43.0,230.97743682310468
354187,2019-06-19 19:54:03,43.0,230.99548736462094
354188,2019-06-19 19:55:57,42.0,231.00451263537906
354189,2019-06-19 19:57:50,43.0,230.97743682310468
354190,2019-06-19 19:59:38,43.0,230.99638989169677
354191,2019-06-19 20:01:28,42.0,230.97743682310468
354192,2019-06-19 20:03:15,44.0,230.99548736462094
354193,2019-06-19 20:05:07,43.0,231.00451263537906
354194,2019-06-19 20:06:59,42.0,231.00451263537906
354195,2019-06-19 20:08:54,44.0,231.00451263537906
354196,2019-06-19 20:10:48,43.0,231.00451263537906
354197,2019-06-19 20:12:40,43.0,230.99548736462094
354198,2019-06-19 20:14:31,44.0,230.99548736462094
354200,2019-06-19 20:18:21,43.0,230.97743682310468
354201,2019-06-19 20:20:13,43.0,231.00451263537906
354202,2019-06-19 20:22:04,43.0,230.99548736462094
354203,2019-06-19 20:23:56,43.0,230.97833935018053
354204,2019-06-19 20:25:48,43.0,230.97743682310468
354205,2019-06-19 20:27:40,43.0,230.97743682310468
354206,2019-06-19 20:29:35,43.0,230.99638989169677
354207,2019-06-19 20:31:27,42.0,231.02256317689532
354208,2019-06-19 20:33:22,43.0,230.97743682310468
354209,2019-06-19 20:35:18,43.0,230.97743682310468
354210,2019-06-19 20:37:13,43.0,230.99638989169677
354211,2019-06-19 20:39:06,42.0,230.97833935018053
354212,2019-06-19 20:40:58,43.0,230.99638989169677
354213,2019-06-19 20:42:49,43.0,231.00451263537906
354214,2019-06-19 20:44:45,44.0,230.99548736462094
354215,2019-06-19 20:46:37,43.0,230.97743682310468
354216,2019-06-19 20:48:28,44.0,230.97743682310468
354217,2019-06-19 20:50:22,43.0,230.99548736462094
354218,2019-06-19 20:52:15,43.0,230.97833935018053
354219,2019-06-19 20:54:06,42.0,230.99638989169677
354220,2019-06-19 20:55:59,43.0,231.00541516245488
354221,2019-06-19 20:57:53,44.0,231.00541516245488
354222,2019-06-19 20:59:43,43.0,231.00541516245488
354224,2019-06-19 21:03:24,43.0,230.97833935018053
354225,2019-06-19 21:05:20,43.0,231.00541516245488
354226,2019-06-19 21:07:14,42.0,230.97833935018053
354227,2019-06-19 21:09:05,43.0,231.00541516245488
354228,2019-06-19 21:10:59,43.0,230.97833935018053
354229,2019-06-19 21:12:54,43.0,230.99638989169677
354230,2019-06-19 21:14:47,43.0,230.97833935018053
354231,2019-06-19 21:16:41,43.0,231.00541516245488
