start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
0,0,105.792,0.28992,0.0659389,1.56048,0.526867,0.0927936,-0.011796
24,24,107.912,0.289901,0.0655656,1.54993,0.545812,0.0813446,-0.00991329
48,48,112.489,0.290374,0.0653476,1.55031,0.543986,0.0877726,-0.0106966
72,72,108.405,0.290227,0.0655252,1.5228,0.55235,0.0887658,-0.010679
96,96,111.855,0.290605,0.0653747,1.54722,0.557991,0.0938411,-0.0111457
120,120,110.054,0.290932,0.0650889,1.52502,0.546466,0.0846956,-0.0102317
