start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
0,0,173.008,0.291922,0.0709088,1.2404,0.554417,0.1065,-0.0138441
24,26,294.803,0.292178,0.0718893,1.19566,0.558771,0.1129,-0.0147654
48,50,207.586,0.292147,0.0710633,1.20669,0.549,0.117212,-0.0154257
