start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
30,30,0.906684,0.735381,0.0918527,1.54197,0.616721,0.2,-0.0304256
52,66,4.37914,0.724067,0.0718885,1.46192,0.590236,0.0911574,-0.0112679
84,85,1.64752,0.726612,0.0693689,1.47008,0.623191,0.0219056,-0.00246894
100,100,0.926709,0.73006,0.081126,1.49595,0.685207,0.038677,-0.00464418
