start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
52,66,0.435082,0.706745,0.0685645,-0.377497,0.227511,0.0618164,-0.020479
84,85,1.03058,0.70213,0.0685244,-0.400644,0.199976,0.0413129,-0.0160342
100,100,0.632321,0.71125,0.0847588,-0.353852,0.284422,0.0599431,-0.0195942
