start,end,amplitude,mean_F90,sigma_F90,mean_logS2maxLoS1L,sigma_logS2maxLoS1L,correlation_coeff,theta
30,30,0.278087,0.722454,0.0846108,-0.456253,0.35522,0.2,-0.0503333
52,66,2.18374,0.728484,0.0715956,-0.391416,0.308638,0.0776171,-0.0190198
84,85,0.727182,0.735966,0.0763809,-0.386477,0.239575,0.0339515,-0.0120467
100,100,0.573816,0.740571,0.0860789,-0.3,0.37358,0.0594433,-0.0144606
