both,upper,lower
0.5889054421172553,0.5422458838607906,0.9621451104100947
0.4737655646200086,0.3375842155919153,0.8133813381338134
0.46960944909043884,0.3272838749233599,0.8066202090592335
0.46250962278675906,0.3039520426287744,0.8211953792064289
0.44321329639889195,0.31645569620253167,0.7849829351535836
0.509090909090909,0.37467700258397935,0.8282208588957055
0.4552444630171333,0.3068195534097767,0.7894021739130435
0.4489597511180245,0.2986400222037191,0.8006493506493506
0.2777777777777778,0.0,0.7142857142857143
0.45054945054945056,0.28046833422032996,0.7348754448398577
0.3969683459652251,0.22999055203131327,0.7220178665265371
0.4003569303985723,0.23338706788464983,0.7306874557051737
0.41732283464566927,0.2247863247863248,0.7295244385733157
0.3969362469024555,0.2545691906005222,0.7480106100795756
