both,upper,lower
0.6548227223048069,0.6028655200772339,0.9418182536390749
0.6512683773617141,0.5967559411542814,0.9398659677016725
0.6482518348803894,0.5913446717810054,0.9373592363338057
0.6443139276552393,0.5845018062921641,0.937139073422778
0.6408575127889256,0.5785576455453932,0.9344081101059524
0.6366767041945102,0.5713224593742421,0.9340746514724041
0.6355166964657719,0.5673807144785635,0.9323390153101743
0.6307287550617589,0.5595419716874432,0.9316932353346864
0.6285455333120525,0.5547039189996673,0.9303689382954728
0.6256575750735528,0.5487424171982815,0.9299592940938511
0.6219159076602906,0.5425314105601584,0.9285419802982129
0.6190273169824192,0.5365965484238338,0.9272674391905338
0.6168708116061077,0.5317702804495745,0.9261583869170419
0.614015146560632,0.5262377648163047,0.9259544940139377
0.6105783540959198,0.5202211645098548,0.9240854612386441
0.6075437817584899,0.5146657888655131,0.9227981509301794
0.6049579173024833,0.5098804347545935,0.9201184695780945
0.6024259302484687,0.5042520224211113,0.9203182607657474
0.6007677439375204,0.499506052526793,0.9195877156079091
0.6000562931704272,0.496421203990004,0.918169648358296
0.5971790245044698,0.491717057279851,0.9158926657119193
0.5916707600288522,0.48395440995193356,0.9138912414619929
0.5884670833990531,0.4783519566019441,0.9123383882172673
0.586450995167854,0.47344157806015985,0.9114889009204115
0.5845392467877963,0.4689469892824455,0.9104989492968372
0.5815316601440766,0.4641580548058756,0.9079395570947363
0.5789458159832633,0.45903566727581757,0.9061976010151821
0.5772666111733912,0.4557453695378529,0.9051752489500159
0.6479195729879166,0.593971266108612,0.9389372881741465
0.6437478082404411,0.5885196168660736,0.9409067566576187
0.6404780860313568,0.5814467770414364,0.9358914130999982
0.6363587135064495,0.5745746123939482,0.9340259667521957
0.6344890545126535,0.5706931407730385,0.9324182204972029
0.6315827820359631,0.5646778390107859,0.9325676893800288
0.6279127131705131,0.5583039347894141,0.9312709479801392
0.6257345599640411,0.5538573242956576,0.930857231197341
0.6224821248376037,0.5481071611559218,0.928845625242884
0.6218368348154444,0.5454409593138732,0.927339668855921
0.6180094366872898,0.5383421582589384,0.9280019040818756
0.6159821697137903,0.5337601927738567,0.9270282360195131
0.6137042437618659,0.5288155788305134,0.9264044994348725
0.6099466517096808,0.5221743302463051,0.9260927854796176
0.6075273319436536,0.5177704615659228,0.9248374223629703
0.6059728510315361,0.514335404933322,0.9233508691541625
0.6030765102314776,0.5091957666426684,0.9220596196646931
0.6003839183502043,0.5037832786018173,0.9222825559972849
0.598697310159624,0.49977058081290865,0.9212526138623961
0.5965423684856085,0.4951674604616385,0.9204801031997533
0.5945855019194026,0.49150671578675764,0.9191625290788514
0.5864457870065607,0.4672210796053797,0.9134291390612556
0.5812940917107584,0.4567313923259307,0.9063078116607984
0.5816962837472516,0.4361601191690426,0.9067440135621954
0.5761174074282382,0.44385234182695094,0.9032395261256494
0.5748525498289252,0.44035423100174825,0.9027050708565767
0.5735798163341514,0.4379135546895447,0.9001131400565207
0.5706076496506894,0.4336394196817583,0.8987595077608064
0.5700941260748121,0.43157351851582815,0.8979440464290364
0.5656808732572318,0.425200991495184,0.8952858989926799
0.5609548582646111,0.41916282500461,0.893230973610847
0.5541108915321228,0.41163387365524967,0.8915293745306028
0.5498238710647887,0.40674455559777467,0.8886975855445255
0.5467997226416283,0.40279287977102707,0.8858444615055442
0.5460653081591612,0.4003532301001893,0.885288541859453
0.5424029041287614,0.3959023022591255,0.8831006966561508
0.5377393574632473,0.3905780012144663,0.878961062513066
